"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","date"
"21","Happy March 26th. #LGRW https://t.co/94cw1b8k5O",FALSE,3901,NA,2018-03-26 14:38:03,FALSE,NA,"978279921368883201",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","DetroitRedWings",2506,FALSE,FALSE,NA,NA,2018-03-26
"22","Happy Birthday Ate @bernardokath! https://t.co/zgqkCLsCOu",FALSE,15767,NA,2018-03-26 05:31:50,FALSE,NA,"978142459594092544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Espanto2001",3142,FALSE,FALSE,NA,NA,2018-03-26
"23","""I'm just so happy to be here. All the teams I've played with, I've never been this happy."" <ed><U+00A0><U+00BE><ed><U+00B4><U+0098>

#RunAsOne https://t.co/Cf7op3MxoL",FALSE,1132,NA,2018-03-26 14:30:02,FALSE,NA,"978277904290217984",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","HoustonRockets",291,FALSE,FALSE,NA,NA,2018-03-26
"24","happy birthday queen @bernardokath <U+263A><U+FE0F>",FALSE,14884,NA,2018-03-26 04:22:49,FALSE,NA,"978125093711765504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shar_sanpedro",3090,FALSE,FALSE,NA,NA,2018-03-26
"25","Welcome @itigershroff to the @becurefit family and happy to see you sharing the vision of making India better and f… https://t.co/o6sEZKbfNI",FALSE,8400,NA,2018-03-26 13:06:48,TRUE,NA,"978256959521656832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iHrithik",720,FALSE,FALSE,NA,NA,2018-03-26
"26","U.S. Expels 60 Russian Officials Over Poisoning of Ex-Spy in U.K.  I’m happy to see that the special U.K./US relati… https://t.co/ezEuUulp8W",FALSE,1666,NA,2018-03-26 13:13:34,TRUE,NA,"978258659938586625",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Billbrowder",438,FALSE,FALSE,NA,NA,2018-03-26
"27","@ShannonBream I’m more of a “Reserve Avenger”. But happy to help. DM me.",FALSE,62637,"ShannonBream",2018-03-26 02:34:31,FALSE,"978015517662466048","978097838872846337","18983793","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VancityReynolds",5897,FALSE,FALSE,NA,NA,2018-03-26
"28","Summer is back - happy #OberonDay! <U+2600><U+FE0F> <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB> https://t.co/Svqw2c4NGx",FALSE,1632,NA,2018-03-26 13:45:06,FALSE,NA,"978266597214257153",NA,"<a href=""http://coschedule.com"" rel=""nofollow"">CoSchedule</a>","BellsBrewery",877,FALSE,FALSE,NA,NA,2018-03-26
"29","Happy birthday to former @NGSuperEagles hard tackling defender, Taribo West. Thank you for the memories. Any one mi… https://t.co/T7XoKued6P",FALSE,685,NA,2018-03-26 07:44:11,TRUE,NA,"978175767015288834",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thenff",264,FALSE,FALSE,NA,NA,2018-03-26
"30","Queen of Hearts Kathryn is getting more beautiful each day! On her special day, see her oh-so-pretty photos that wi… https://t.co/z2o0ANnObf",FALSE,1920,NA,2018-03-26 07:04:07,TRUE,NA,"978165684151767040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ABSCBN",863,FALSE,FALSE,NA,NA,2018-03-26
"31","@ShannonBream Happy to! DM me",FALSE,33007,"ShannonBream",2018-03-26 02:21:57,FALSE,"978015517662466048","978094676573151233","18983793","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChrisEvans",3032,FALSE,FALSE,NA,NA,2018-03-26
"32","“When I’m making you happy,”-I’m Real - “when I’m making me happy” - I’m not real -Bet!!!<ed><U+00A0><U+00BE><ed><U+00B4><U+0094> #imHim",FALSE,6304,NA,2018-03-26 01:16:30,FALSE,NA,"978078204136214528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamkevingates",4536,FALSE,FALSE,NA,NA,2018-03-26
"33","<ed><U+00A0><U+00BC><ed><U+00BE><U+0082> Happy birthday to the eldest of the @weareoneEXO clan, Xiumin! #HappyXIUMINDay https://t.co/KKyZVN71zZ",FALSE,25983,NA,2018-03-25 18:58:07,FALSE,NA,"977982981351575553",NA,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","tumblr",27901,FALSE,FALSE,NA,NA,2018-03-25
"34","I’m not technically an Avenger, but I’d be happy to record a video for the little man and do my best impressions of… https://t.co/Kr9UIWS3lz",FALSE,4477,NA,2018-03-26 00:20:42,TRUE,NA,"978064161350418432",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","ZacharyLevi",570,FALSE,FALSE,NA,NA,2018-03-26
"35","Why do we feel like dancing? <ed><U+00A0><U+00BD><ed><U+00B2><U+0083><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> ‘Cause our Hairkada’s turning 22! <ed><U+00A0><U+00BC><ed><U+00BE><U+0089> Happy Birthday, Kathryn! https://t.co/iD46VhtD6b",FALSE,2452,NA,2018-03-26 01:00:21,FALSE,NA,"978074140962734080",NA,"<a href=""https://www.percolate.com"" rel=""nofollow"">Percolate</a>","SunsilkPH",1308,FALSE,FALSE,NA,NA,2018-03-26
"36","An emotional Jeff Walz postgame after team advances to Final Four, here he offers some heartfelt thoughts on the te… https://t.co/oIuOMiwFiK",FALSE,927,NA,2018-03-26 00:48:45,TRUE,NA,"978071220473221120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SteffiSorensen",261,FALSE,FALSE,NA,NA,2018-03-26
"37","Well done, #Texas! Im feeling so overwhelmed w emotions right now. Im so happy for her.

But I also feel anger that… https://t.co/aRHFxrGlfg",FALSE,838,NA,2018-03-26 02:09:49,TRUE,NA,"978091623157440512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ConfessionsExMu",353,FALSE,FALSE,NA,NA,2018-03-26
"38","My hearts racing, literally so excited. I can never express how much you guys mean to me and how happy y’all make m… https://t.co/mWXj3PK1Ld",FALSE,3215,NA,2018-03-26 00:25:56,TRUE,NA,"978065478273953792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lance210",411,FALSE,FALSE,NA,NA,2018-03-26
"39","Happy Birthday to #EXO's Xiumin! #HappyXiuminDay! <ed><U+00A0><U+00BC><ed><U+00BE><U+0089> Catch up with him: https://t.co/kMmR3ODbqV https://t.co/iNJxIyJnyG",FALSE,24242,NA,2018-03-25 15:00:03,FALSE,NA,"977923071762825216",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","soompi",21352,FALSE,FALSE,NA,NA,2018-03-25
